# core	nvalues	median	mean	stddev	min	max
29	90	425.5	419.7	22.1888109941	353	453
30	89	502	494.595505618	27.541478056	428	552
31	90	495.0	493.233333333	20.0150221362	431	544
32	90	500.0	492.155555556	25.4911361985	418	551
33	90	490.0	490.177777778	19.456834148	424	535
34	90	495.5	491.177777778	21.5218637038	424	535
35	90	487.0	486.144444444	20.4795622301	416	525
36	90	449.0	447.388888889	21.1815928708	386	508
37	90	463.0	461.666666667	26.4167455309	391	516
38	90	455.0	454.011111111	20.7795275556	392	504
39	90	449.5	452.488888889	20.5124593273	394	517
40	90	459.0	457.8	23.3496133682	395	511
41	90	462.0	462.188888889	25.0368148686	385	526
42	90	494.0	492.366666667	22.4224342023	423	542
43	90	482.5	480.088888889	29.0232261184	403	564
44	90	488.5	489.666666667	19.7388505801	437	566
45	90	489.0	487.811111111	21.619895387	428	544
46	90	486.0	485.266666667	22.4493503989	419	538
47	90	482.0	482.166666667	20.2447524065	416	528
0	90	323.0	316.277777778	26.7565268373	212	370
1	90	321.5	319.555555556	27.6007693577	219	376
2	90	325.0	323.822222222	30.4195031656	247	377
3	90	326.5	324.644444444	27.6105097185	262	392
4	90	330.0	326.311111111	26.1026369228	269	371
5	90	322.0	319.444444444	26.3194525066	224	374
6	90	359.5	356.066666667	25.0580659004	292	396
7	90	346.5	349.744444444	28.3292393556	291	413
8	90	364.0	358.488888889	29.0567431242	284	407
9	90	366.0	360.077777778	31.1231345814	219	415
11	90	357.0	354.555555556	28.2068199441	268	410
12	90	388.5	388.388888889	25.4006537293	324	445
13	90	400.0	402.288888889	27.8688374132	344	475
14	90	384.5	385.044444444	24.5912862214	284	446
15	90	394.0	396.411111111	26.2496114022	341	481
16	90	405.0	402.455555556	26.4504404967	352	454
17	90	388.5	391.011111111	27.1201009685	334	445
18	90	499.5	501.344444444	22.6137426806	455	556
19	90	508.5	509.122222222	27.4650597336	454	562
20	90	502.5	504.644444444	24.35994486	454	585
21	90	494.5	496.622222222	27.8837179801	446	566
22	90	497.0	500.033333333	25.3720975352	429	599
23	90	516.5	511.977777778	28.8374670554	455	572
24	90	415.0	415.622222222	26.8334690588	357	477
25	90	424.5	421.433333333	25.4824776399	360	492
26	90	421.0	415.133333333	34.2176692498	343	472
27	90	424.0	417.088888889	34.0720297293	351	486
28	90	411.5	414.022222222	35.94841297	354	513
29	90	401.0	410.377777778	34.4056125195	341	482
30	90	494.5	483.777777778	33.1795712844	411	537
31	90	489.5	483.044444444	35.5867987731	408	543
32	90	492.5	483.766666667	29.8991081249	417	553
33	90	491.0	482.055555556	34.0220063133	409	554
34	90	490.0	485.6	37.165934223	421	539
35	90	491.5	485.744444444	31.8958587041	402	536
36	90	455.5	449.588888889	33.3352980902	374	549
37	90	453.5	448.155555556	32.3549450492	359	525
38	90	455.0	449.133333333	33.0629702235	376	536
39	90	460.0	452.166666667	28.9129920816	387	520
40	90	457.0	447.788888889	29.2477898289	373	498
41	90	451.5	447.933333333	31.8412032157	376	506
42	90	493.0	484.933333333	38.7142810285	383	577
43	90	490.0	480.455555556	34.6920295397	406	547
44	90	483.5	483.088888889	30.4224494757	421	551
45	90	490.5	487.355555556	25.7877279647	423	561
46	90	492.5	493.955555556	30.6499632449	423	572
47	90	496.0	492.077777778	36.7000538231	411	566
0	90	296.0	296.9	14.0807591336	208	342
1	90	301.0	302.233333333	15.5785108403	197	344
2	90	303.0	303.544444444	11.0203459425	250	338
3	90	306.0	308.5	8.49346153749	285	344
4	90	306.0	307.855555556	9.01426167693	289	348
5	90	302.0	304.622222222	9.8574030587	282	344
6	90	344.0	344.188888889	9.81483508034	293	382
7	90	338.0	336.944444444	11.0265952347	307	375
8	90	343.0	342.366666667	9.80640380341	292	375
9	90	345.0	346.444444444	7.75186158446	321	379
10	90	329.0	329.711111111	10.1743079966	290	368
12	90	367.0	372.744444444	16.0274494478	349	432
13	90	362.0	368.766666667	21.0438959215	324	443
14	90	368.0	374.777777778	18.5830136162	351	441
15	90	368.0	375.011111111	14.7516435577	359	414
16	90	356.0	363.744444444	19.2143240036	343	438
17	90	360.0	365.033333333	16.3424804319	345	428
18	90	462.0	465.233333333	14.9829903557	437	524
19	90	476.0	476.855555556	12.4700183651	445	516
20	90	465.0	466.044444444	15.0021562236	438	539
21	90	470.0	470.522222222	17.18411914	442	561
22	90	465.5	468.866666667	19.9689759377	434	539
23	90	472.0	475.766666667	21.5849999357	429	551
24	90	413.0	413.0	11.4260910007	363	444
25	90	423.0	419.433333333	13.4817160134	358	437
26	90	421.0	418.888888889	13.9271473066	354	440
27	90	428.0	423.388888889	16.1181019316	355	443
28	90	422.0	418.8	13.6407885077	353	442
29	90	427.5	424.966666667	14.0328582659	368	448
30	90	492.0	491.955555556	16.8179210706	425	535
31	90	485.0	487.188888889	15.5555595238	423	533
32	90	483.0	485.388888889	14.6049416633	420	526
33	90	490.0	490.544444444	16.3266388397	439	543
34	90	498.0	499.477777778	17.8139943601	433	537
35	90	483.0	485.388888889	18.6002953647	391	531
36	90	442.0	445.244444444	15.6661780854	395	482
37	90	460.0	464.644444444	17.9234862129	403	514
38	90	456.0	461.066666667	20.2423099253	388	514
39	90	458.0	460.266666667	17.4201671124	399	501
40	90	453.0	458.922222222	19.5438127622	406	513
41	90	460.0	462.155555556	21.1963891637	384	513
42	90	484.0	487.222222222	15.4774228244	435	527
43	90	479.0	479.033333333	14.3158420407	412	532
44	90	483.5	484.344444444	17.9556002475	387	524
45	90	492.0	490.688888889	16.6150162634	423	527
